OCID,CONTRACT_TITLE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,,,CONTRACT_AMOUNT,CONTRACT_CURRENCY
ocds-0ud2q6-LO-927074936-N2-2015,Contrato de Prestación de Servicios Relacionados con la Obra Publica LO-927074936-N2-2015,open,TAB-Coordinación General de Desarrollo Regional y Proyectos Estratégicos,"CAL Y MAYOR Y ASOCIADOS, S.C.",,,6244814.68,MXN
ocds-0ud2q6-CE-926011997-E6-2017,C001-CE-926011997-E6-2017-FAM,open,SON-Universidad de Sonora,"BUFETE DE INGENIERÍA DE SONORA, S.A. DE C.V.",,,2703073.63,MXN
ocds-0ud2q6-CE-926011997-E7-2017,C001-CE-926011997-E7-2017-FAM,open,SON-Universidad de Sonora,"BUFETE DE INGENIERÍA DE SONORA, S.A. DE C.V.",,,2881227.55,MXN
ocds-0ud2q6-CE-926011997-E4-2017,C001-CE-926011997-E4-2017-FAM,open,SON-Universidad de Sonora,"BUFETE DE INGENIERÍA DE SONORA, S.A. DE C.V.",,,7919831.38,MXN
ocds-0ud2q6-LO-926005992-N21-2013,"REHABILITACIÓN DEL HOSPITAL GENERAL DE MOCTEZUMA, DEL MUNICIPIO DE MOCTEZUMA, SONORA",open,SON-Secretaría de Salud Pública,"BUFETE DE INGENIERÍA DE SONORA, S.A. DE C.V.",,,21812532.89,MXN
ocds-0ud2q6-CE-926006995-E25-2016,"CONSERVACIÓN Y RECONSTRUCCIÓN DEL TRAMO URES–PUEBLO DE ÁLAMOS EN URES, SON",open,SON-Secretaría de Infraestructura y Desarrollo Urbano,"GLUYAS CONSTRUCCIONES, S.A. DE C.V.",,,34810403.01,MXN
ocds-0ud2q6-LO-926006995-E38-2017,"REHABILITACIÓN DE CALLES 12 DE OCTUBRE, TECORIPA, SANTA ROSA, TOPAHUE, RANCHO VIEJO, ONCE CALLES, GRAL. PIÑA, MICHOACÁN, RAFAELA RODRÍGUEZ, ALBERTO GUTIÉRREZ, DR. EDUARDO LEVER E IGNACIO ROMERO EN LA LOCALIDAD Y MUNICIPIO DE HERMOSILLO, SONORA.",open,SON-Secretaría de Infraestructura y Desarrollo Urbano,"GLUYAS CONSTRUCCIONES, S.A. DE C.V.",,,18874805.6,MXN
ocds-0ud2q6-LO-926006995-E86-2016,"REHABILIT.PAVIMENTOS A BASE DE RECARPETEO EN JOSÉ S.HEALY Y OTRAS CALLES, HILLO",open,SON-Secretaría de Infraestructura y Desarrollo Urbano,"GRUPO CONSTRUCCIONES PLANIFICADAS, S.A. DE C.V.",,,22546526.19,MXN
ocds-0ud2q6-CE-926006995-E11-2017,"REHABILITACIÓN DE PAVIMENTOS A BASE DE RECARPETEO EN VARIAS CALLES DEL SECTOR CENTRO EN LA LOCALIDAD Y MUNICIPIO DE HERMOSILLO, SONORA",open,SON-Secretaría de Infraestructura y Desarrollo Urbano,"GRUPO CONSTRUCCIONES PLANIFICADAS, S.A. DE C.V.",,,23835767.13,MXN
ocds-0ud2q6-CE-926006995-E186-2016,"RECONSTRUCCIÓN DE LA CALLE 20 SUR DEL KM 0+000 AL KM 27+000 (PRIMERA ETAPA) EN VARIAS LOCALIDADES DEL MUNICIPIO DE HERMOSILLO, SONORA",open,SON-Secretaría de Infraestructura y Desarrollo Urbano,"GRUPO CONSTRUCCIONES PLANIFICADAS, S.A. DE C.V.",,,13367357.45,MXN
ocds-0ud2q6-LO-926006995-E174-2016,"REHABILITACIÓN DE PAVIMENTOS A BASE DE RECARPETEO EN CALLE LOPEZ DEL CASTILLO ENTRE YECORA Y ALBERTO GUTIÉRREZ Y CALLE DR. OLIVARES ENTRE BLVD. PROGRESO Y JOSÉ CARMELO EN LA LOCALIDAD Y MUNICIPIO DE HERMOSILLO, SONORA",open,SON-Secretaría de Infraestructura y Desarrollo Urbano,"GRUPO CONSTRUCCIONES PLANIFICADAS, S.A. DE C.V.",,,24267530.95,MXN
ocds-0ud2q6-CE-926006995-E11-2017,"REHABILITACIÓN DE PAVIMENTOS A BASE DE RECARPETEO EN VARIAS CALLES DEL SECTOR CENTRO EN LA LOCALIDAD Y MUNICIPIO DE HERMOSILLO, SONORA",open,SON-Secretaría de Infraestructura y Desarrollo Urbano,"GRUPO CONSTRUCCIONES PLANIFICADAS, S.A. DE C.V.",,,23835767.13,MXN
ocds-0ud2q6-CE-926006995-E186-2016,"RECONSTRUCCIÓN DE LA CALLE 20 SUR DEL KM 0+000 AL KM 27+000 (PRIMERA ETAPA) EN VARIAS LOCALIDADES DEL MUNICIPIO DE HERMOSILLO, SONORA",open,SON-Secretaría de Infraestructura y Desarrollo Urbano,"GRUPO CONSTRUCCIONES PLANIFICADAS, S.A. DE C.V.",,,13367357.45,MXN
ocds-0ud2q6-LO-926006995-E174-2016,"REHABILITACIÓN DE PAVIMENTOS A BASE DE RECARPETEO EN CALLE LOPEZ DEL CASTILLO ENTRE YECORA Y ALBERTO GUTIÉRREZ Y CALLE DR. OLIVARES ENTRE BLVD. PROGRESO Y JOSÉ CARMELO EN LA LOCALIDAD Y MUNICIPIO DE HERMOSILLO, SONORA",open,SON-Secretaría de Infraestructura y Desarrollo Urbano,"GRUPO CONSTRUCCIONES PLANIFICADAS, S.A. DE C.V.",,,24267530.95,MXN
ocds-0ud2q6-LO-926006995-E86-2016,"REHABILIT.PAVIMENTOS A BASE DE RECARPETEO EN JOSÉ S.HEALY Y OTRAS CALLES, HILLO",open,SON-Secretaría de Infraestructura y Desarrollo Urbano,"GRUPO CONSTRUCCIONES PLANIFICADAS, S.A. DE C.V.",,,22546526.19,MXN
ocds-0ud2q6-CE-926006995-E8-2017,"REHABILITACIÓN DE PAVIMENTOS A BASE DE RECARPETEO EN CALLES: PASEO RÍO SONORA (CUERPO SUR), ENTRE CALIFORNIA Y BLVD. VILLA BONITA; BLVD. SOLIDARIDAD, ENTRE LÁZARO CÁRDENAS Y BLVD. JUAN BAUTISTA ESCALANTE EN LA LOCALIDAD Y MUNICIPIO DE HERMOSILLO, SONORA",open,SON-Secretaría de Infraestructura y Desarrollo Urbano,"TECNOASFALTOS Y TERRACERIAS, S.A. DE C.V.",,,23881331.13,MXN
ocds-0ud2q6-CE-926006995-E26-2016,"CONSERV. Y RECONST. TRAMO MAZATÁN–HERMOSILLO, VARIAS LOCALIDADES V. MPIOS, SON",open,SON-Secretaría de Infraestructura y Desarrollo Urbano,"TECNOASFALTOS Y TERRACERIAS, S.A. DE C.V.",,,22150261.94,MXN
ocds-0ud2q6-XX-926006995-X33-2015,"RECARPETEO CON MICROCARPETA ASFÁLTICA VARIAS CALLES Y AVENIDAS DE HERMOSILLO,SON",open,SON-Secretaría de Infraestructura y Desarrollo Urbano,"TECNOASFALTOS Y TERRACERIAS, S.A. DE C.V.",,,7251929.88,MXN
ocds-0ud2q6-AO-926006995-E95-2018,"CONTROL DE CALIDAD DE LA OBRA: PAVIMENTACIÓN DE LA CALLE EL ALBERGUE ENTRE MÉXICO Y ALMACENES EN LA LOCALIDAD Y MUNICIPIO DE BACERAC Y PAVIMENTACIÓN DE CALLE BUENA VISTA EN LA LOCALIDAD DE BUENA VISTA MUNICIPIO DE NACORI CHICO, SONORA",direct,SON-Secretaría de Infraestructura y Desarrollo Urbano,"OESTEC DE MEXICO, S.A. DE C.V.",,,68226.44,MXN
ocds-0ud2q6-AO-926006995-E96-2018,"CONTROL DE CALIDAD DE LA OBRA: PAVIMENTACIÓN DE BLVD. LUIS DONALDO COLOSIO, CALLE EMILIANO ZAPATA Y CALLE ADOLFO LOPEZ MATEOS EN LA LOCALIDAD Y MUNICIPIO DE SOYOPA, SONORA",direct,SON-Secretaría de Infraestructura y Desarrollo Urbano,"OESTEC DE MEXICO, S.A. DE C.V.",,,12325.95,MXN
ocds-0ud2q6-AO-926006995-E98-2018,"CONTROL DE CALIDAD DE LA OBRA: PAVIMENTACIÓN DE CAÑADA JUAN DIEGO ENTRE CARRETERA HERMOSILLO - EL NOVILLO - SAHUARIPA Y ADELINA VALENZUELA GUERRERO EN LA LOCALIDAD Y MUNICIPIO BACANORA, PAVIMENTACIÓN DE LA CALLE JOSÉ MARÍA MORELOS EN LA LOCALIDAD Y MUNICIP",direct,SON-Secretaría de Infraestructura y Desarrollo Urbano,"OESTEC DE MEXICO, S.A. DE C.V.",,,138656.74,MXN
ocds-0ud2q6-AO-926006995-E99-2018,"CONTROL DE CALIDAD DE LA OBRA: PAVIMENTACIÓN DE LA CALLE OCTAVA EN LA LOCALIDAD Y MUNICIPIO DE GRANADOS, DE LA CALLE PROF. JULIÁN MORENO F. (16 DE SEPTIEMBRE) EN LA LOCALIDAD Y MUNICIPIO DE HUASABAS, DE LA CALLE GENERAL JOSE URREA ENTRE SEBASTIÁN LERDO DE",direct,SON-Secretaría de Infraestructura y Desarrollo Urbano,"OESTEC DE MEXICO, S.A. DE C.V.",,,147615.16,MXN
ocds-0ud2q6-AO-926006995-E100-2018,"CONTROL DE CALIDAD DE LA OBRA: PAVIMENTACIÓN DE CALLE SIN NOMBRE Y CALLE 21 DE MARZO EN LA LOCALIDAD Y MUNICIPIO DE MOCTEZUMA, SONORA",direct,SON-Secretaría de Infraestructura y Desarrollo Urbano,"OESTEC DE MEXICO, S.A. DE C.V.",,,101159.8,MXN
ocds-0ud2q6-AO-926006995-E130-2017,"CONTROL DE CALIDAD Y TOPOGRAFIA PARA LA OBRA DE PAVIMENTACION DE LA CALLE RIO YAQUI EN LA LOCALIDAD DE FRANCISCO JAVIER MINA (CAMPO 60) Y PAVIMENTACION DE BLVD. MIGUEL HIDALGO EN LA LOCALIDAD DE MIGUEL ALEMAN (LA NORIA) MUNICIPIO DE BACUM, SONORA",direct,SON-Secretaría de Infraestructura y Desarrollo Urbano,"OESTEC DE MEXICO, S.A. DE C.V.",,,155480.28,MXN
ocds-0ud2q6-AO-926006995-E115-2016,"CONTROL DE CAL.: REHAB. DE PAV. A BASE DE RECARPETEO EN HERMOSILLO,SON.",direct,SON-Secretaría de Infraestructura y Desarrollo Urbano,"OESTEC DE MEXICO, S.A. DE C.V.",,,305979.28,MXN
ocds-0ud2q6-AO-926006995-E117-2016,REHAB PAVIMENTOS JOSE CARMELO,direct,SON-Secretaría de Infraestructura y Desarrollo Urbano,"OESTEC DE MEXICO, S.A. DE C.V.",,,345997.68,MXN
ocds-0ud2q6-CE-926006995-E52-2016,"SUP. EXTERNA Y C.DE CALIDAD CONCLUSIÓN MODERNIZACIÓN Y RECONSTRUC. TRAMO ESPERANZA – HORNOS (DEL KM 8+800 AL KM 17+400), VARIOS MPIOS. SON",open,SON-Secretaría de Infraestructura y Desarrollo Urbano,"OESTEC DE MEXICO, S.A. DE C.V.",,,2107878.42,MXN
ocds-0ud2q6-CE-926006995-E46-2016,SUPERV.EXTERNA Y C.DE CALIDAD: RECONSTRUCCIÓN CAMINO HORNOS-ROSARIO,open,SON-Secretaría de Infraestructura y Desarrollo Urbano,"OESTEC DE MEXICO, S.A. DE C.V.",,,2153007.36,MXN
ocds-0ud2q6-AO-926008990-N86-2011,"ELABORACIÓN DE LOS ESTUDIOS Y PROYECTO EJECUTIVO PARA LA AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE EN BENEFICIO DE LA LOCALIDAD DE LOS ESTRADOS DEL MUNICIPIO DE ALAMOS, EN EL ESTADO DE SONORA",direct,"SON-Secretaria de Agricultura, Ganadería, Recursos Hidráulicos, Pesca y Acuacultura","CONSTRUCTORA TRAX, S.A. DE C.V.",,,356606.69,MXN
ocds-0ud2q6-LA-926008990-N116-2011,"IMPLEMENTACIÓN DE SISTEMAS AHORRADORES DE AGUA A BASE DE INSTALACIÓN DE VÁLVULAS AHORRADORAS EN 70 ESCUELAS PILOTOS EN EL ESTADO DE SONORA, EN EL ESTADO DE SONORA",open,"SON-Secretaria de Agricultura, Ganadería, Recursos Hidráulicos, Pesca y Acuacultura","TECNOASFALTOS Y TERRACERIAS, S.A. DE C.V.",,,666766.1,MXN
ocds-0ud2q6-EO-826030998-N20-2011,"REHABILITACIÓN PAVIMENTOS 2DA ETAPA, EN VARIAS CALLES, HILLO, SON.",open,SON-Presidencia Municipal de Hermosillo,"GRUPO CONSTRUCCIONES PLANIFICADAS, S.A. DE C.V.",,,11818223.11,MXN
ocds-0ud2q6-EO-826030998-N7-2012,"Rehabilitación de pavimentos con microcarpeta asf. 2da. etapa, en Hillo, Son.",open,SON-Presidencia Municipal de Hermosillo,"GRUPO CONSTRUCCIONES PLANIFICADAS, S.A. DE C.V.",,,8006144.46,MXN
ocds-0ud2q6-EO-826030998-N7-2012,"Rehabilitación de pavimentos con microcarpeta asf. 2da. etapa, en Hillo, Son.",open,SON-Presidencia Municipal de Hermosillo,"GRUPO CONSTRUCCIONES PLANIFICADAS, S.A. DE C.V.",,,8006144.46,MXN
ocds-0ud2q6-EO-826030998-N20-2011,"REHABILITACIÓN PAVIMENTOS 2DA ETAPA, EN VARIAS CALLES, HILLO, SON.",open,SON-Presidencia Municipal de Hermosillo,"GRUPO CONSTRUCCIONES PLANIFICADAS, S.A. DE C.V.",,,11818223.11,MXN
ocds-0ud2q6-IO-826018991-N62-2013,SUPERVISION EXTERNA DIVERSAS UNIDADES DEPORTIVAS,limited,SON-Presidencia Municipal de Cajeme,"OESTEC DE MEXICO, S.A. DE C.V.",,,396236.69,MXN
ocds-0ud2q6-LO-926054987-E37-2017,"CONSTRUCCION DEL CAMINO ALAMOS-MASIACA, EN EL ESTADO DE SONORA.",open,SON-Junta de Caminos del Estado de Sonora,"GLUYAS CONSTRUCCIONES, S.A. DE C.V.",,,31743201.71,MXN
ocds-0ud2q6-LO-926054987-E34-2017,CONSERVACION Y RECONSTRUCCION DE LA CARRETERA LLANO BLANCO-E.C. FEDERAL NO. 2 EN EL ESTADO DE SONORA,open,SON-Junta de Caminos del Estado de Sonora,"GLUYAS CONSTRUCCIONES, S.A. DE C.V.",,,15010719.05,MXN
ocds-0ud2q6-LO-926054987-E13-2016,CONSERVACION Y RECONSTRUCCION DE PUERTO PEÑASCO-ESTACION SAHUARO,open,SON-Junta de Caminos del Estado de Sonora,"GRUPO CONSTRUCCIONES PLANIFICADAS, S.A. DE C.V.",,,12917410,MXN
ocds-0ud2q6-LO-926054987-E13-2016,CONSERVACION Y RECONSTRUCCION DE PUERTO PEÑASCO-ESTACION SAHUARO,open,SON-Junta de Caminos del Estado de Sonora,"GRUPO CONSTRUCCIONES PLANIFICADAS, S.A. DE C.V.",,,12917410,MXN
ocds-0ud2q6-LO-926025943-N5-2015,"Construcción del Edificio de la Sala de Cine del Centro de las Artes Cinematográficas del Noroeste, S.A. de C.V.",open,SON-Instituto Sonorense de Cultura,"BUFETE DE INGENIERÍA DE SONORA, S.A. DE C.V.",,,21470452.14,MXN
ocds-0ud2q6-LO-926025943-N2-2015,Construcción CACN,open,SON-Instituto Sonorense de Cultura,"BUFETE DE INGENIERÍA DE SONORA, S.A. DE C.V.",,,7718251.25,MXN
ocds-0ud2q6-48053001-004-09,SUMINISTRO DE ANILLOS DE HULE PARA LOS VEHICULOS BOMBARDIER MM-90 DEL METRO NUEVO LEON.,open,SISTEMA DE TRANSPORTE COLECTIVO DEL ESTADO DE NUEVO LEÓN,"SIEMENS INNOVACIONES, S.A. DE C.V.",,,1590592.08,MXN
ocds-0ud2q6-30128001-013-10,Gas oxigeno industrial y gas acetileno industrial,open,SISTEMA DE AGUAS DE LA CIUDAD DE MÉXICO,"PRAXAIR MÉXICO, S.DE R.L. DE C.V.",,,378755.5,MXN
ocds-0ud2q6-30128001-004-10,"Suministro de Gases especiales de alta pureza, mediante contrato abierto",open,SISTEMA DE AGUAS DE LA CIUDAD DE MÉXICO,"PRAXAIR MÉXICO, S.DE R.L. DE C.V.",,,621247.81,MXN
ocds-0ud2q6-30128001-022-09,"Suministro de Unidad de bombeo portátil tipo vortex, motobomba centrífuga autocebante y motobomba autocebante con motor de combustión interna",open,SISTEMA DE AGUAS DE LA CIUDAD DE MÉXICO,"EXCELENCIA EN BOMBAS Y SISTEMAS, S.A. DE C.V.",,,527630.99,MXN
ocds-0ud2q6-30128001-050-10,"Suministro de motobomba portýtil, bomba hidrýulica sumergible portýtil y bomba sumergible para achique de construcciýn centrýfuga",open,SISTEMA DE AGUAS DE LA CIUDAD DE MÉXICO,"EXCELENCIA EN BOMBAS Y SISTEMAS, S.A. DE C.V.",,,3106368.51,MXN
ocds-0ud2q6-30128001-014-09,Suministro de Unidad de bombeo tipo vortex y motobomba centrífuga autocebante,open,SISTEMA DE AGUAS DE LA CIUDAD DE MÉXICO,"EXCELENCIA EN BOMBAS Y SISTEMAS, S.A. DE C.V.",,,9866347,MXN
ocds-0ud2q6-IA-825001997-N20-2012,"ADQUISICIÓN DE BOMBA CENTRIFUGA HORIZONTAL DE ACOPLAMIENTO FLEXIBLE MONTADA EN BASE, FABRICADA EN CARCAZA DE HIERRO FUNDIDO, IMPULSOR SEMI ABIERTO DE 280 MM, EN ACERO AL ALTO CROMO RESISTENTE A LA ABRACION Y CORROSION, PARA UNA CARGA A VENCER DE 18 MTS. Y",limited,SIN-JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE AHOME,"HIDROSISTEMAS BAJA, S. DE R.L. DE C.V.",,,565884,MXN
ocds-0ud2q6-48063002-026-09,Gases Medicinales,open,SERVICIOS DE SALUD DEL ESTADO DE NUEVO LEÓN,"PRAXAIR MÉXICO, S.DE R.L. DE C.V.",,,9036409.95,MXN
ocds-0ud2q6-48063002-034-08,Gases Medicinales,open,SERVICIOS DE SALUD DEL ESTADO DE NUEVO LEÓN,"PRAXAIR MÉXICO, S.DE R.L. DE C.V.",,,6860852.5,MXN
ocds-0ud2q6-48104002-002-09,Suministro de Medidores para la Direcciýn de Operaciýn y la Coordinaciýn de Regiones Forýneas.,open,SERVICIOS DE AGUA Y DRENAJE DE MONTERREY,"BERMAD MEXICO, S.A. DE C.V.",,,4351041.98,MXN
ocds-0ud2q6-48104002-001-10,SUMINISTRO DE MEDIDORES TIPO VELOCIDAD PARA USO INDUSTRIAL; SUMINISTRO DE MEDIDORES TIPO VELOCIDAD CHORRO MULTIPLE PARA USO DOMICILIARIO; SUMINISTRO DE MEDIDORES TIPO DE VELOCIDAD DE CHORRO MULTIPLE DE TERMOPLÁSTICO PARA USO DOMICILIARIO.,open,SERVICIOS DE AGUA Y DRENAJE DE MONTERREY,"BERMAD MEXICO, S.A. DE C.V.",,,3054427.64,MXN
ocds-0ud2q6-48062003-045-07,SUMINISTRO DE GASES ESPECIALES EN LABORATORIO CENTRAL Y PLANTAS DE TRATAMIENTO DE AGUAS RESIDUALES.,open,SERVICIOS DE AGUA Y DRENAJE DE MONTERREY,"PRAXAIR MÉXICO, S.DE R.L. DE C.V.",,,371743.92,MXN
ocds-0ud2q6-48062003-006-09,SUMINISTRO DE GASES ESPECIALES EN LABORATORIO CENTRAL Y PLANTAS DE TRATAMIENTO DE AGUAS RESIDUALES.,open,SERVICIOS DE AGUA Y DRENAJE DE MONTERREY,"PRAXAIR MÉXICO, S.DE R.L. DE C.V.",,,419029.89,MXN
ocds-0ud2q6-09338033-046-10,MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LOS CONMUTADORES TELEFýNICOS MARCA SIEMENS,direct,SERVICIO POSTAL MEXICANO,"SIEMENS ENTERPRISE COMMUNICATIONS, S.A. DE C.V.",,,366890.22,MXN
ocds-0ud2q6-IA-009J9E001-N14-2012,MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE CONMUTADORES (SIEMENS),limited,SERVICIO POSTAL MEXICANO,"SIEMENS ENTERPRISE COMMUNICATIONS, S.A. DE C.V.",,,768626.79,MXN
ocds-0ud2q6-09338033-018-09,Mobiliario y equipo (servicio de mantenimiento y reparación),direct,SERVICIO POSTAL MEXICANO,"SIEMENS, S.A. DE C.V.",,,413284.27,MXN
ocds-0ud2q6-08210001-053-07,suministro de de Gas L. P. para Horno incinerador y Gases especiales,open,"SERVICIO NACIONAL DE SANIDAD, INOCUIDAD Y CALIDAD AGROALIMENTARIA","PRAXAIR MÉXICO, S.DE R.L. DE C.V.",,,762463.54,MXN
ocds-0ud2q6-08210001-002-07,Para la Adquisicion de Gases Especiales y Gas LP,open,"SERVICIO NACIONAL DE SANIDAD, INOCUIDAD Y CALIDAD AGROALIMENTARIA","PRAXAIR MÉXICO, S.DE R.L. DE C.V.",,,544044.98,MXN
ocds-0ud2q6-08210001-048-08,Servicio de Abastecimiento de Gases Especiales para cromatýgrafos,open,"SERVICIO NACIONAL DE SANIDAD, INOCUIDAD Y CALIDAD AGROALIMENTARIA","PRAXAIR MÉXICO, S.DE R.L. DE C.V.",,,719960.95,MXN
ocds-0ud2q6-SA-004O00001-N95-2015,SERVICIO DE POLIZA DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPO CONMUTADOR,direct,Servicio de Protección Federal,"SIEMENS ENTERPRISE COMMUNICATIONS, S.A. DE C.V.",,,391542.3,MXN
ocds-0ud2q6-00022001-015-09,MÓDULO DE EXPANSIÓN PARA CONMUTADOR,direct,SECRETARÍA DE SEGURIDAD PÚBLICA,"SIEMENS ENTERPRISE COMMUNICATIONS, S.A. DE C.V.",,,12899.3,MXN
ocds-0ud2q6-35015001-046-07,"Construcciýn del ""Hospital General"" (Etapa de Intalaciýn de Gases Medicinales) en la Carretera Mýzquiz - Rosita Km. 5 del Municipio de Mýzquiz, Coahuila",open,SECRETARÍA DE OBRAS PÚBLICAS Y TRANSPORTE DEL ESTADO DE COAHUILA,"PRAXAIR MÉXICO, S.DE R.L. DE C.V.",,,1150807.64,MXN
ocds-0ud2q6-35015001-009-09,"Construcciýn del Hospital General de Saltillo (etapa de gases medicinales) en el Municipio de Saltillo, Coahuila",open,SECRETARÍA DE OBRAS PÚBLICAS Y TRANSPORTE DEL ESTADO DE COAHUILA,"PRAXAIR MÉXICO, S.DE R.L. DE C.V.",,,4432296.57,MXN
ocds-0ud2q6-48093001-020-09,Construcción o ampliación de planteles educativos,open,SECRETARÍA DE OBRAS PÚBLICAS DEL ESTADO DE NUEVO LEÓN,"DESARROLLO Y CONSTRUCCIONES URBANAS, S.A. DE C.V.",,,52827425.97,MXN
ocds-0ud2q6-48004001-009-08,"Construcciýn de Puente Vehicular en Bernardo Reyes y Almazýn, Eje 2, para el Eje Vial Venustiano Carranza Tercera Etapa, en Monterrey, Nuevo Leýn.",open,SECRETARÍA DE OBRAS PÚBLICAS DEL ESTADO DE NUEVO LEÓN,"DESARROLLO Y CONSTRUCCIONES URBANAS, S.A. DE C.V.",,,45372958.09,MXN
ocds-0ud2q6-42002001-018-10,"Realizaciýn de Proyectos y Estudios del Tren Suburbano en la Regiýn Sur del Estado de Hidalgo y Zonas Metropolitanas del Estado de Mýxico y Ciudad de Mýxico (1ý Etapa), Ubicado en varias localidades y Municipios del Estado de Hgo.",open,SECRETARÍA DE OBRAS PÚBLICAS DEL ESTADO DE HIDALGO,"CAL Y MAYOR Y ASOCIADOS, S.C.",,,26421451.77,MXN
ocds-0ud2q6-00013001-201-09,TABLERO DE TRANSFERENCIA,direct,SECRETARÍA DE MARINA,"SIEMENS INNOVACIONES, S.A. DE C.V.",,,18283.56,MXN
ocds-0ud2q6-00013001-168-10,ADQUISICION DE LOTE DE TABLEROS SCUNDARIOS DE DISTRIBUCION Y CONTROL EN ACERO INOXIDABLE PARA ATENCIONES DEL ASTILLERO DE MARINA NUMERO VEINTE PARA LA CONSTRUCCION DEL CASCO 42,direct,SECRETARÍA DE MARINA,"SIEMENS INNOVACIONES, S.A. DE C.V.",,,5325750.08,MXN
ocds-0ud2q6-00013001-130-10,TABLERO DE DISTRIBUCION 220 VCA,direct,SECRETARÍA DE MARINA,"SIEMENS INNOVACIONES, S.A. DE C.V.",,,28686.21,MXN
ocds-0ud2q6-00013001-944-10,SISTEMA DE GENERACIýN ELECTRICA CON PMA 71 POWER MANAGEMENT SYSTEM,direct,SECRETARÍA DE MARINA,"SIEMENS INNOVACIONES, S.A. DE C.V.",,,2578185.67,MXN
